,Label ID,Name,URL,Functional Group,Popularity %,Short Code,Duplicate,Duplicate Notes,Verified,Has Calcification Rates
194,2592,Acroporidae Other Bleached,https://coralnet.ucsd.edu/label/2592/,Hard coral,39,ACR-OTH-B*,False,,False,False
195,169,Acroporidae (plate/encrusting),https://coralnet.ucsd.edu/label/169/,Hard coral,79,ACR_p_e,False,,False,False
196,2593,Acroporidae plate/encrusting Bleached,https://coralnet.ucsd.edu/label/2593/,Hard coral,54,ACR-PE-B*,False,,False,False
197,167,Acroporidae (table/corymbose/digitate),https://coralnet.ucsd.edu/label/167/,Hard coral,76,ACR_t_c_d,False,,False,False
198,6263,ACRO with Turf (LOF),https://coralnet.ucsd.edu/label/6263/,Hard coral,39,ACRO+T,False,,False,False
199,2428,Agaricia,https://coralnet.ucsd.edu/label/2428/,Hard coral,66,Agaricia,False,,True,True
200,1357,Agaricia agaricites,https://coralnet.ucsd.edu/label/1357/,Hard coral,77,AgAga,False,,True,True
201,6665,Agaricia agaricites - Bleached,https://coralnet.ucsd.edu/label/6665/,Hard coral,0,CB-AAGA,False,,False,False
202,6646,Agaricia agaricites - Intermediate bleaching,https://coralnet.ucsd.edu/label/6646/,Hard coral,20,CI-AAGA,False,,False,False
203,1358,Agaricia fragilis,https://coralnet.ucsd.edu/label/1358/,Hard coral,64,AgFra,False,,True,True
204,7607,Agaricia fragilis dead,https://coralnet.ucsd.edu/label/7607/,Hard coral,20,D_AgFra,False,,False,False
205,1359,Agaricia grahamae,https://coralnet.ucsd.edu/label/1359/,Hard coral,67,AgGra,False,,True,True
206,1188,Agaricia humilis,https://coralnet.ucsd.edu/label/1188/,Hard coral,71,AgHum,False,,True,True
207,1360,Agaricia lamarcki,https://coralnet.ucsd.edu/label/1360/,Hard coral,69,AgLam,False,,True,True
208,6666,Agaricia Lamarcki - Bleached,https://coralnet.ucsd.edu/label/6666/,Hard coral,18,CB-ALAM,False,,False,False
209,6709,Agaricia lamarcki Dead,https://coralnet.ucsd.edu/label/6709/,Hard coral,30,CD-ALAM,False,,False,False
210,6647,Agaricia lamarcki - Intermediate bleaching,https://coralnet.ucsd.edu/label/6647/,Hard coral,0,CI-ALAM,False,,False,False
211,2962,Agaricia spp.,https://coralnet.ucsd.edu/label/2962/,Hard coral,72,AG,True,Duplicate of Agaricia,False,False
212,1766,Agaricia tenuifolia,https://coralnet.ucsd.edu/label/1766/,Hard coral,73,AgTen,False,,True,True
213,6667,Agaricia tenuifolia - Bleached,https://coralnet.ucsd.edu/label/6667/,Hard coral,36,CB-ATEN,False,,False,False
214,6754,Agaricia tenuifolia - Dead,https://coralnet.ucsd.edu/label/6754/,Hard coral,47,CD-ATEN,False,,False,False
215,6648,Agaricia tenuifolia - Intermediate bleaching,https://coralnet.ucsd.edu/label/6648/,Hard coral,39,CI-ATEN,False,,False,False
216,377,Agaricia/Undaria,https://coralnet.ucsd.edu/label/377/,Hard coral,69,AGAR,False,,False,False
217,1770,Agaricia undata,https://coralnet.ucsd.edu/label/1770/,Hard coral,52,AgUnd,False,,True,True
218,109,Agariciidae,https://coralnet.ucsd.edu/label/109/,Hard coral,68,AGARICIIDA,False,,True,False
219,1179,Agracia agricites,https://coralnet.ucsd.edu/label/1179/,Hard coral,43,AGAG,False,,False,False
220,3386,Alek,https://coralnet.ucsd.edu/label/3386/,Hard coral,0,alek,False,,False,False
221,2037,Alveopora,https://coralnet.ucsd.edu/label/2037/,Hard coral,76,Alveopora,False,,True,False
222,6318,Alveopora allingi,https://coralnet.ucsd.edu/label/6318/,Hard coral,26,allingi,False,,False,False
223,6923,Alveopora_columnar,https://coralnet.ucsd.edu/label/6923/,Hard coral,0,Alv_col,False,,False,False
224,4957,Alveopora_encrusting,https://coralnet.ucsd.edu/label/4957/,Hard coral,54,alvenc,False,,False,False
225,6319,Alveopora excelsa,https://coralnet.ucsd.edu/label/6319/,Hard coral,26,excelsa,False,,False,False
226,6320,Alveopora fenestrata,https://coralnet.ucsd.edu/label/6320/,Hard coral,26,fenestrata,False,,False,False
227,7300,Alveopora gigas,https://coralnet.ucsd.edu/label/7300/,Hard coral,7,A. gigas,False,,False,False
228,6321,Alveopora japonica,https://coralnet.ucsd.edu/label/6321/,Hard coral,26,Alv.j,False,,False,False
229,4956,Alveopora_massive,https://coralnet.ucsd.edu/label/4956/,Hard coral,31,alvmas,False,,False,False
